Tipo de produto florestal;Tipo de Floresta;Tipo de Uso;Tipo de produto extrativo (com código);Tipo de produto extrativo;Unidade de Medida PEVS;Unidade de Medida transformada;Ano_PEVS;Quantidade PEVS;Quantidade transformada;Valor (mil reais)
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2011;680;680;1006
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2012;677;677;1447
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2013;639;639;1414
PFNM;Floresta Natural;Alimentícios;1.5 - Mangaba (fruto) (Toneladas);Mangaba;Toneladas;Toneladas;2014;685;685;1581
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;1994;21903;21903;8235
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;1995;20653;20653;10616
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;1996;18155;18155;6679
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;1997;36449;36449;13900
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;1998;24188;24188;10620
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;1999;18575;18575;8516
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2000;17154;17154;9558
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2001;15596;15596;9093
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2002;14529;14529;11352
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2003;13704;13704;11481
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2004;12124;12124;11034
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2005;7863;7863;10747
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2006;6524;6524;9940
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2007;6037;6037;9903
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2008;5873;5873;5988
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2009;5076;5076;7353
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2010;4920;4920;8691
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2011;5563;5563;9535
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2012;4787;4787;10861
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2013;4620;4620;11214
PFNM;Floresta Natural;Alimentícios;1.6 - Palmito (Toneladas);Palmito;Toneladas;Toneladas;2014;4729;4729;12716
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;1994;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;1995;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;1996;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;1997;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;1998;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;1999;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2000;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2001;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2002;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2003;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2004;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2005;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2006;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2007;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2008;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2009;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2010;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2011;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2012;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2013;0;0;0
PFNM;Floresta Natural;Alimentícios;1.7 - Pequi (fruto) (Toneladas);Pequi (fruto);Toneladas;Toneladas;2014;19241;19241;14589
